date, all, locate, load, dump, split, getyomi, other, comment
2011/10/31 22:17, 141.79, 11.30, 40.78, 13.04, 61.72, 9.26, 0.00, no dirty
2011/10/31 22:21, 105.29, 12.60, 36.56, 3.83, 36.77, 9.25, 0.01, dirty
2011/10/31 22:24, 110.82, 10.27, 34.35, 8.09, 46.07, 7.42, 0.00, dirty again
2011/10/31 22:29, 110.85, 9.75, 34.03, 7.57, 47.80, 7.05, 0.00, no dirty again
2011/10/31 22:34, 110.72, 10.37, 32.62, 7.20, 49.45, 7.08, 0.06, no dirty again again
2011/10/31 22:38, 117.38, 11.38, 40.11, 8.21, 45.33, 8.38, 0.01, dirty again again
2011/10/31 22:42, 111.06, 10.28, 42.02, 5.92, 39.35, 8.71, 0.00, dirty again
2011/11/01 13:31, 102.07, 10.99, 43.01, 8.23, 24.97, 9.58, 0.00, di cache
2011/11/01 13:35, 101.11, 11.19, 42.41, 7.43, 24.58, 10.00, 0.00, di cache again
2011/11/02 22:09, 115.09, 11.90, 46.13, 13.42, 26.78, 9.62, 0.00, split cache
2011/11/03 11:08, 109.12, 11.15, 33.02, 7.38, 27.21, 21.18, 0.11, split cache fixed
2011/11/03 11:14, 112.27, 11.34, 43.97, 10.37, 30.38, 10.87, 0.00, split cache fixed 2
2011/11/07 22:11, 47.10, 6.89, 19.26, 2.85, 10.02, 5.18, 0.00, split cache real fix(too fast?)
2011/11/08 00:31, 92.79, 11.47, 36.02, 12.61, 20.65, 7.34, 0.00, new directory info cache
2011/11/08 00:33, 77.96, 10.61, 37.91, 6.15, 10.22, 8.13, 0.00,  new di cache again
